rental_id,country,city,property_type,bedrooms,bathrooms,square_feet,property_age_years,parking_spaces,pets_allowed,furnished,monthly_rent,currency,security_deposit,lease_term_months,tenant_age,monthly_income,employment_type,employment_verified,income_verified,credit_score,rental_history_years,previous_evictions,on_time_payments,late_payments,missed_payments,payment_consistency_score,market_median_rent,days_to_rent_property,local_unemployment_rate,inflation_rate,rent_to_income_ratio,rent_vs_market_ratio,tenant_stability_score,property_desirability_score,default_flag,high_rent_burden,subprime_credit,verification_score,total_late_missed,rent_per_sqft,income_stability,credit_income_interaction,rent_credit_ratio,country_enc,city_enc,property_type_enc,employment_type_enc,currency_enc
RENT_Me000017,Mexico,Cancun,Townhouse,1,2,1624.6,11,0,0,0,28831.71,MXN,86495.13,12,31,67812.08,Full-time Employed,1,1,707,3,1,4,4,4,0.333,29496.89,16,5.27,4.66,0.425,0.977,0.686,0.697,1,1,0,2,8,17.74695925,10815.32376,479.4314056,40.72275424,1,2,4,2,1
RENT_Du000018,Dubai,Jumeirah Beach Residence,Studio,0,1,364.3,20.9,0,1,0,3226.6,AED,6453.2,6,23,9443.51,Self-employed,1,1,718,5,0,12,0,0,1,3641.2,13,2.43,1.24,0.342,0.886,0.798,0.405,0,0,0,2,0,8.856986001,2753.209913,67.8044018,4.487621697,0,7,3,5,0
RENT_Me000019,Mexico,Merida,House,2,2,1677.7,9.2,1,1,0,40980.69,MXN,40980.69,12,24,117738.85,Full-time Employed,1,1,638,6,0,9,2,1,0.75,36028.29,23,5.01,4.87,0.348,1.137,0.776,0.724,0,0,0,2,3,24.42670919,19590.49085,751.173863,64.13253521,1,8,1,2,1
RENT_Me000020,Mexico,Monterrey,Apartment,4,5,1405.1,27.5,0,1,0,22746.1,MXN,68238.3,6,24,79109.68,Retired,1,1,790,5,0,10,2,0,0.833,25565.98,17,5.31,5.79,0.288,0.89,0.841,0.732,0,0,0,2,2,16.18824283,12537.19176,624.966472,28.75613148,1,10,0,4,1
RENT_Du000021,Dubai,Dubai Marina,Apartment,3,4,1200.7,34.4,1,0,0,12748.82,AED,25497.64,24,33,42296.04,Self-employed,1,1,694,0.3,1,11,0,1,0.917,12617.24,19,2.78,1.3,0.301,1.01,0.625,0.655,0,0,0,2,1,10.61782294,11189.42857,293.5345176,18.3436259,0,5,0,5,0
RENT_Du000022,Dubai,Downtown Dubai,Studio,3,3,888.7,21.8,1,0,0,3757.79,AED,7515.58,36,28,15077.97,Full-time Employed,0,1,767,2.2,0,11,3,0,0.917,3896.33,1,3.11,1.83,0.249,0.964,0.545,0.767,0,0,0,1,3,4.228412288,3668.605839,115.6480299,4.892955729,0,4,3,2,0
RENT_Du000023,Dubai,Downtown Dubai,Penthouse,2,3,2134.8,13.8,1,0,1,69067.44,AED,207202.32,12,18,171428.82,Retired,1,0,694,0,0,11,2,0,0.917,59232.6,49,2.55,1.43,0.403,1.166,0.363,0.563,0,1,0,1,2,32.35311973,48289.80845,1189.716011,99.37761151,0,4,2,4,0
RENT_Du000024,Dubai,Jumeirah Beach Residence,Villa,2,3,2486.6,19.3,1,0,0,26931.77,AED,26931.77,12,28,77765.08,Freelancer,1,1,627,3.8,0,11,3,0,0.917,30606.87,33,2.92,2.01,0.346,0.88,0.725,0.607,0,0,0,2,3,10.83076088,19838.03061,487.5870516,42.88498408,0,7,5,1,0
RENT_Du000025,Dubai,Business Bay,Villa,2,2,2503.2,49.5,0,1,0,26918.32,AED,53836.64,24,42,120542.11,Retired,1,0,623,0.4,0,11,0,1,0.917,29788.84,30,1.88,1.32,0.223,0.904,0.45,0.55,0,0,0,1,1,10.75356344,41854.89931,750.9773453,43.13833333,0,1,5,4,0
RENT_Me000026,Mexico,Monterrey,Studio,0,2,444,5.9,2,0,0,11314.3,MXN,22628.6,24,29,36303.8,Freelancer,1,1,580,2.9,0,12,3,0,1,10888.7,24,4.85,3.24,0.312,1.039,0.695,0.474,0,0,1,2,3,25.48265766,6205.777778,210.56204,19.47383821,1,10,3,1,1
RENT_Me000027,Mexico,Merida,Villa,1,2,2201,29.3,2,1,0,38098.84,MXN,76197.68,12,33,274192.9,Business Owner,1,1,631,8.5,1,12,2,0,1,39736.57,15,4.7,4.3,0.139,0.959,0.879,0.58,0,0,0,2,2,17.30978646,48104.01754,1730.157199,60.28297468,1,8,5,0,1
RENT_Du000028,Dubai,DIFC,Villa,3,4,2607.1,21.8,0,0,0,52602.86,AED,105205.72,12,28,219194.01,Self-employed,1,1,696,0.1,0,12,1,0,1,46577.17,29,3.18,2.02,0.24,1.129,0.647,0.66,0,0,0,2,1,20.17677113,52438.75837,1525.59031,75.47038737,0,3,5,5,0
RENT_Du000029,Dubai,DIFC,Studio,0,0,480.7,24.9,2,0,1,5680.96,AED,11361.92,24,25,14468.57,Full-time Employed,1,1,635,4.9,0,9,1,2,0.75,5462.84,37,3.48,2.4,0.393,1.04,0.75,0.293,0,0,0,2,3,11.81809861,3229.591518,91.8754195,8.932327044,0,3,3,2,0
RENT_Me000030,Mexico,Merida,Townhouse,1,1,1679.8,19.8,1,0,0,34011.83,MXN,68023.66,24,38,139553.75,Freelancer,1,1,745,7,0,10,3,0,0.833,32175.7,56,4.51,5.66,0.244,1.057,0.853,0.438,0,0,0,2,3,20.24754733,25327.35935,1039.675438,45.59226542,1,8,4,1,1
RENT_Du000031,Dubai,Arabian Ranches,Apartment,3,5,1187,17,1,0,0,11160.94,AED,33482.82,12,25,38828.97,Freelancer,1,1,847,1.2,1,5,4,3,0.417,12137.23,38,2.94,3.38,0.287,0.92,0.704,0.647,1,0,0,2,7,9.402645324,9855.068528,328.8813759,13.16148585,0,0,0,1,0
RENT_Du000032,Dubai,Jumeirah Beach Residence,House,3,4,1710.3,13.2,0,0,1,24639.16,AED,49278.32,24,39,52039.51,Part-time,1,1,668,0.5,0,9,2,1,0.75,21690.76,2,3.09,2.99,0.473,1.136,0.576,0.852,0,1,0,2,3,14.40633807,12723.59658,347.6239268,36.82983558,0,7,1,3,0
RENT_Me000033,Mexico,Monterrey,Apartment,3,4,1220.4,9.3,2,1,1,21181.15,MXN,42362.3,12,41,48373.46,Full-time Employed,1,1,641,12.8,0,11,1,0,0.917,18534.57,37,5.16,4.27,0.438,1.143,0.751,0.703,0,1,0,2,1,17.3559079,7852.834416,310.0738786,32.99244548,1,10,0,2,1
RENT_Me000034,Mexico,Guadalajara,Studio,2,4,819.8,37,2,0,0,10152.56,MXN,20305.12,24,31,43582.62,Freelancer,1,1,781,2.6,1,3,3,6,0.25,9499.89,50,5.7,4.26,0.233,1.069,0.772,0.396,1,0,0,2,9,12.38419127,6504.868657,340.3802622,12.9828133,1,6,3,1,1
RENT_Me000035,Mexico,Guadalajara,Townhouse,2,3,1907,23,0,1,1,44822.71,MXN,89645.42,12,39,189146.74,Freelancer,1,0,717,2.2,0,12,1,0,1,44211.43,24,4.84,5.26,0.237,1.014,0.539,0.627,0,0,0,1,1,23.50430519,32388.14041,1356.182126,62.4271727,1,6,4,1,1
RENT_Du000036,Dubai,Business Bay,Villa,3,4,2588.9,13.9,0,1,0,44805.3,AED,89610.6,12,39,157877.62,Full-time Employed,1,1,667,1.3,0,12,2,0,1,51181.92,107,2.79,1.43,0.284,0.875,0.667,0.557,0,0,0,2,2,17.30669396,41656.36412,1053.043725,67.0738024,0,1,5,2,0
RENT_Du000037,Dubai,Jumeirah Beach Residence,House,3,4,1608.7,3.7,0,0,1,30717.29,AED,61434.58,6,34,71714.59,Self-employed,0,1,574,8.1,0,10,3,0,0.833,26352.67,11,3.27,1.33,0.428,1.166,0.535,0.871,0,1,1,1,3,19.09448001,16794.98595,411.6417466,53.42137391,0,7,1,5,0
RENT_Me000038,Mexico,Puebla,Penthouse,1,2,1828.7,42.6,1,0,1,106104.61,MXN,212209.22,12,42,218396.64,Part-time,1,1,483,1,0,5,5,2,0.417,116064.68,204,3.35,5.78,0.486,0.914,0.552,0.35,1,1,1,2,7,58.02187893,50206.12414,1054.855771,219.2244008,1,11,2,3,1
RENT_Me000039,Mexico,Monterrey,Apartment,2,2,1031.2,35.9,0,0,0,20740.87,MXN,41481.74,24,29,162686.97,Business Owner,1,0,552,2.8,0,3,5,4,0.25,21475.89,11,3.79,5.18,0.127,0.966,0.578,0.645,1,0,1,1,9,20.11333398,33963.87683,898.0320744,37.50609403,1,10,0,0,1
RENT_Me000040,Mexico,Tijuana,House,2,2,1525.2,17.1,0,1,0,38852.6,MXN,116557.8,12,41,111986.97,Full-time Employed,1,1,685,2.5,0,10,0,2,0.833,34586.76,1,5.48,4.35,0.347,1.123,0.686,0.781,0,0,0,2,2,25.47377393,17281.93981,767.1107445,56.63644315,1,12,1,2,1
RENT_Du000041,Dubai,Downtown Dubai,Townhouse,2,2,2036.9,21.2,0,0,1,21035.45,AED,21035.45,12,40,49584.83,Part-time,0,1,539,7,0,12,1,0,1,22825.48,7,2.39,2.69,0.424,0.922,0.527,0.724,0,1,1,1,1,10.32718837,14626.79351,267.2622337,38.95453704,0,4,4,3,0
RENT_Du000042,Dubai,Jumeirah Beach Residence,Townhouse,2,3,1933.1,26.3,1,0,0,16809.15,AED,33618.3,24,31,61941.29,Self-employed,1,1,743,11.7,1,3,4,5,0.25,17481.86,6,2.64,2.15,0.271,0.962,0.839,0.695,1,0,0,2,9,8.69543738,17016.83791,460.2237847,22.59294355,0,7,4,5,0
RENT_Du000043,Dubai,Jumeirah Beach Residence,Studio,1,2,556,17.5,0,0,0,4709.84,AED,9419.68,12,31,12608.72,Retired,1,1,756,0.6,0,10,3,0,0.833,4242.06,8,2.13,1.32,0.374,1.11,0.614,0.56,0,0,0,2,3,8.470935252,4028.345048,95.3219232,6.221717305,0,7,3,4,0
RENT_Me000044,Mexico,Mexico City,Studio,1,2,546.5,12.3,0,0,0,12132.37,MXN,24264.74,12,47,44485.53,Part-time,1,1,682,3,0,12,2,0,1,13664.22,1,3.41,5.81,0.273,0.888,0.743,0.627,0,0,0,2,2,22.20012809,10087.42177,303.3913146,17.76335286,1,9,3,3,1
RENT_Du000045,Dubai,Arabian Ranches,House,2,2,1538,24.2,1,0,0,14619.59,AED,29239.18,12,27,73063.89,Business Owner,1,0,581,1.4,0,11,0,1,0.917,12587.54,7,2.59,3.37,0.2,1.161,0.492,0.704,0,0,1,1,1,9.505585176,20352.0585,424.5012009,25.11957045,0,0,1,0,0
RENT_Du000046,Dubai,Dubai Marina,Townhouse,2,3,1931.1,20.2,2,0,1,29293.44,AED,87880.32,12,30,85527.8,Freelancer,1,1,603,0.8,0,11,3,0,0.917,25075.81,9,2.26,2.29,0.343,1.168,0.604,0.72,0,0,0,2,3,15.16930247,26235.52147,515.732634,48.49907285,0,5,4,1,0
RENT_Me000047,Mexico,Puebla,Studio,1,2,541.8,7.7,1,0,0,14233.69,MXN,42701.07,12,45,54898.5,Business Owner,1,0,750,0.3,0,12,3,0,1,15281.74,14,4.6,4.92,0.259,0.931,0.458,0.591,0,0,0,1,3,26.2711148,9803.303571,411.73875,18.95298269,1,11,3,0,1
RENT_Du000048,Dubai,Downtown Dubai,Apartment,1,1,733.2,9.7,0,0,0,13585.24,AED,27170.48,24,18,30398.94,Freelancer,0,1,755,0,0,10,1,1,0.833,12170.44,4,2.2,1.5,0.447,1.116,0.378,0.685,0,1,0,1,2,18.52869613,9499.66875,229.511997,17.96989418,0,4,0,1,0
RENT_Me000049,Mexico,Puebla,Studio,2,2,808.7,9.8,1,0,1,9213.62,MXN,27640.86,12,18,20660.79,Retired,1,1,734,0,0,10,3,0,0.833,10223.91,42,4.23,6.11,0.446,0.901,0.573,0.567,0,1,0,2,3,11.39312477,3950.437859,151.6501986,12.53553741,1,11,3,4,1
RENT_Me000050,Mexico,Merida,Studio,1,2,596.7,7.2,2,0,0,14505.63,MXN,29011.26,24,48,91429.02,Business Owner,1,0,809,0.6,0,12,1,0,1,14538.75,6,4.04,4.42,0.159,0.998,0.536,0.651,0,0,0,1,1,24.30975365,18140.67857,739.6607718,17.90818519,1,8,3,0,1
RENT_Du000051,Dubai,Business Bay,House,3,5,1709.6,16.2,0,1,0,25368.48,AED,50736.96,12,31,74069.51,Freelancer,0,1,583,0.2,1,12,3,0,1,22045.53,115,2.37,1.59,0.342,1.151,0.373,0.542,0,0,1,1,3,14.83883949,21979.08309,431.8252433,43.43917808,0,1,1,1,0
RENT_Me000052,Mexico,Monterrey,Townhouse,4,5,2242.3,26.7,1,1,0,44368.64,MXN,44368.64,24,36,135079.76,Full-time Employed,1,1,795,1.6,0,12,1,0,1,48769.38,83,4.11,5.98,0.328,0.91,0.687,0.522,0,0,0,2,1,19.78711145,26434.3953,1073.884092,55.73949749,1,10,4,2,1
RENT_Du000053,Dubai,Arabian Ranches,Studio,3,4,989.6,17.5,0,1,0,4134.32,AED,12402.96,12,32,10009.71,Part-time,1,1,667,0.5,0,9,0,3,0.75,3717.15,4,3.15,1.78,0.413,1.112,0.575,0.81,0,1,0,2,3,4.177768795,2411.978313,66.7647657,6.189101796,0,0,3,3,0
RENT_Me000054,Mexico,Puebla,Studio,3,4,1153.5,19.8,1,0,0,10511.81,MXN,10511.81,12,29,18861.16,Part-time,1,0,755,1.4,0,11,2,0,0.917,11292.66,17,4.4,4.03,0.557,0.931,0.434,0.733,0,1,0,1,2,9.112969224,3492.807407,142.401758,13.90451058,1,11,3,3,1
RENT_Me000055,Mexico,Monterrey,Apartment,0,1,578.1,17,1,0,0,19066.19,MXN,38132.38,12,33,150271.15,Business Owner,0,1,741,3,0,11,0,1,0.917,20747.97,24,4.07,3.53,0.127,0.919,0.629,0.44,0,0,0,1,1,32.98078187,29639.28008,1113.509222,25.69567385,1,10,0,0,1
RENT_Me000056,Mexico,Puebla,House,5,5,2208.2,26,3,0,0,23862.84,MXN,71588.52,12,23,61013.48,Freelancer,1,0,614,0.1,0,12,0,0,1,26560.05,10,4.68,5.46,0.391,0.898,0.353,0.827,0,0,0,1,0,10.80646681,10741.80986,374.6227672,38.80136585,1,11,1,1,1
RENT_Du000057,Dubai,Downtown Dubai,Penthouse,1,1,1955.5,31.5,1,0,0,38925.14,AED,116775.42,24,39,105929.14,Full-time Employed,1,1,757,3.6,0,11,1,0,0.917,37123.25,3,2.72,1.93,0.367,1.049,0.737,0.635,0,0,0,2,1,19.90546663,28475.57527,801.8835898,51.35242744,0,4,2,2,0
RENT_Me000058,Mexico,Cancun,Studio,4,5,1333.6,15.2,3,0,0,13480.85,MXN,26961.7,12,33,41728.29,Business Owner,1,0,850,6.2,0,11,3,0,0.917,14276.16,63,5.62,4.85,0.323,0.944,0.639,0.599,0,0,0,1,3,10.10861578,6303.367069,354.690465,15.84118684,1,2,3,0,1
RENT_Du000059,Dubai,Dubai Marina,House,4,5,2047.1,6.7,2,1,0,35817.14,AED,107451.42,12,44,72281.74,Part-time,1,1,639,1.8,2,3,6,3,0.25,39458.65,3,1.99,4.06,0.496,0.908,0.622,0.94,1,1,0,2,9,17.49652679,24174.49498,461.8803186,55.96428125,0,5,1,3,0
RENT_Me000060,Mexico,Guadalajara,Townhouse,0,1,1552.4,50,2,1,0,21179.99,MXN,42359.98,12,40,95808.72,Freelancer,1,1,633,1.2,0,3,6,3,0.25,23847.75,10,4.24,4.77,0.221,0.888,0.687,0.55,1,0,0,2,9,13.64338444,18284.10687,606.4691976,33.40692429,1,6,4,1,1
RENT_Me000061,Mexico,Cancun,Studio,2,3,768.2,31.2,1,1,0,8615.01,MXN,17230.02,12,22,33062.3,Full-time Employed,0,1,668,2.1,0,12,0,0,1,8259.37,21,4.29,5.94,0.261,1.043,0.509,0.525,0,0,0,1,0,11.21454048,6249.962193,220.856164,12.87744395,1,2,3,2,1
RENT_Du000062,Dubai,DIFC,Penthouse,2,3,2251.7,5.3,0,1,1,33176.45,AED,66352.9,24,25,114603.17,Business Owner,1,1,666,2.7,1,4,4,4,0.333,30289.16,57,1.91,3.37,0.289,1.095,0.721,0.579,1,0,0,2,8,14.73395657,39382.53265,763.2571122,49.7398051,0,3,2,0,0
RENT_Du000063,Dubai,DIFC,Penthouse,1,2,1945.3,8.2,1,0,0,50963.68,AED,50963.68,12,26,127930.08,Freelancer,0,1,688,1.8,0,9,0,3,0.75,49446.44,20,2.69,2.48,0.398,1.031,0.435,0.695,0,0,0,1,3,26.19836529,34669.39837,880.1589504,73.96760522,0,3,2,1,0
RENT_Me000064,Mexico,Merida,Townhouse,1,1,1662.9,10.1,2,1,0,48491.23,MXN,145473.69,12,20,132301.99,Self-employed,1,1,617,0.1,0,10,1,1,0.833,50803.16,1,3.61,5.32,0.367,0.954,0.565,0.778,0,0,0,2,2,29.16064105,28698.91323,816.3032783,78.46477346,1,8,4,5,1
RENT_Me000065,Mexico,Mexico City,House,3,3,1727.2,7.3,1,0,0,21312.01,MXN,42624.02,12,32,81634.8,Full-time Employed,0,1,669,3.2,1,2,6,4,0.167,19669.95,19,3.82,3.41,0.261,1.083,0.554,0.806,1,0,0,1,10,12.33905164,16936.6805,546.136812,31.80897015,1,9,1,2,1
RENT_Me000066,Mexico,Tijuana,Studio,2,4,875.3,15.9,0,0,1,12676.6,MXN,25353.2,12,26,29746.3,Retired,1,0,605,0,0,12,3,0,1,10876.01,5,3.42,3.74,0.426,1.166,0.344,0.732,0,1,0,1,3,14.4825774,6729.932127,179.965115,20.91848185,1,12,3,4,1
RENT_Me000067,Mexico,Guadalajara,Townhouse,0,0,1676.5,2.5,1,1,1,44888.42,MXN,89776.84,12,22,146059.7,Retired,1,1,614,2.7,0,12,3,0,1,43668.51,20,3.9,5.03,0.307,1.028,0.698,0.684,0,0,0,2,3,26.77507903,29808.10204,896.806558,72.98930081,1,6,4,4,1
RENT_Me000068,Mexico,Puebla,Villa,3,4,2697.2,8.5,0,0,0,70993.49,MXN,212980.47,12,31,223391.09,Retired,0,1,850,0.9,0,11,1,0,0.917,81310.31,18,3.56,5.69,0.318,0.873,0.477,0.804,0,0,0,1,1,26.32118122,48989.27412,1898.824265,83.42360752,1,11,5,4,1
RENT_Du000069,Dubai,Downtown Dubai,Penthouse,2,3,2037,21.6,1,1,0,57421.58,AED,114843.16,12,36,286740.57,Business Owner,1,1,700,2.8,1,12,0,0,1,64560.44,8,2.93,1.71,0.2,0.889,0.775,0.716,0,0,0,2,0,28.18928817,72961.9771,2007.18399,81.91380884,0,4,2,0,0
RENT_Me000070,Mexico,Monterrey,Penthouse,2,3,2137.5,26.3,2,0,1,55475.85,MXN,110951.7,12,32,142337.84,Full-time Employed,1,1,694,0.8,0,9,2,1,0.75,53073.85,31,4.21,3.99,0.39,1.045,0.602,0.57,0,0,0,2,3,25.95361404,27320.12284,987.8246096,79.82136691,1,10,2,2,1
RENT_Du000071,Dubai,Downtown Dubai,Apartment,3,4,1105.1,7,1,0,0,13769,AED,27538,12,53,31618.65,Retired,1,0,611,0.1,0,12,3,0,1,11916.07,10,2.25,2.93,0.435,1.155,0.348,0.854,0,1,0,1,3,12.45950593,9728.815385,193.1899515,22.49836601,0,4,0,4,0
RENT_Me000072,Mexico,Mexico City,Apartment,1,2,914.9,22,1,0,0,13854.28,MXN,27708.56,12,26,58387.48,Retired,1,1,677,3.5,0,10,0,2,0.833,15180.56,24,4.33,3.86,0.237,0.913,0.781,0.558,0,0,0,2,2,15.14294458,10954.49906,395.2832396,20.4340413,1,9,0,4,1
RENT_Du000073,Dubai,Downtown Dubai,Apartment,1,2,862.2,41.3,1,0,0,9572.47,AED,9572.47,12,19,49980.34,Self-employed,1,1,574,1,0,9,0,3,0.75,10452.83,16,3.28,3.32,0.192,0.916,0.679,0.529,0,0,1,2,3,11.10237764,11677.64953,286.8871516,16.64777391,0,4,0,5,0
RENT_Me000074,Mexico,Tijuana,Townhouse,3,4,2054.6,11.1,0,1,0,35703.9,MXN,35703.9,24,37,131807.96,Full-time Employed,1,1,745,0.1,1,4,6,2,0.333,40249.68,88,5.01,4.02,0.271,0.887,0.644,0.576,1,0,0,2,8,17.37754307,21931.44093,981.969302,47.86045576,1,12,4,2,1
RENT_Me000075,Mexico,Guadalajara,Apartment,3,4,1312.9,14.8,1,0,0,22979.14,MXN,68937.42,24,31,78322.02,Full-time Employed,1,0,567,0.4,0,12,0,0,1,21875.28,32,3.4,5.26,0.293,1.05,0.402,0.692,0,0,1,1,0,17.50258207,17800.45909,444.0858534,40.45623239,1,6,0,2,1
RENT_Me000076,Mexico,Mexico City,Townhouse,2,3,1941.3,19.2,2,0,0,50761.29,MXN,50761.29,24,18,136332.45,Part-time,1,1,701,0,0,10,0,2,0.833,43471,31,3.26,5.8,0.372,1.168,0.579,0.617,0,0,0,2,2,26.14809149,32002.92254,955.6904745,72.30952991,1,9,4,3,1
RENT_Me000077,Mexico,Monterrey,Penthouse,2,3,2148.3,24.8,2,0,0,75232.16,MXN,150464.32,12,43,389516.62,Business Owner,1,1,545,4,0,11,1,0,0.917,71951.03,8,3.82,3.44,0.193,1.046,0.792,0.695,0,0,1,2,1,35.01939208,80812.57676,2122.865579,137.7878388,1,10,2,0,1
RENT_Me000078,Mexico,Guadalajara,Townhouse,0,1,1306.6,2.2,0,1,1,41030.12,MXN,41030.12,12,22,134387.1,Part-time,0,1,758,4,0,12,3,0,1,36931.63,118,4.42,5,0.305,1.111,0.586,0.486,0,0,0,1,3,31.40220419,24794.6679,1018.654218,54.05812912,1,6,4,3,1
