applicant_id,age,employment_status,monthly_income,employment_verified,income_verified,credit_score,rental_history_years,previous_evictions,late_payments_count,missed_payments_count,on_time_payments_percent,property_type,bedrooms,bathrooms,square_feet,property_age_years,furnished,pets_allowed,parking,monthly_rent,security_deposit,market_median_rent,lease_term_months,city,local_unemployment_rate,inflation_rate,default_flag
APP000030,31,Full-time,45123,1,1,764,8,0,3,2,94.7,House,4,2,1186,25,1,0,1,27399,67891,28000,12,Delhi,4.2,4.5,1
APP000031,27,Full-time,82278,1,1,620,6,0,6,4,85.1,Condo,3,2,1586,11,0,0,1,38408,80434,25000,11,Pune,3.7,3.9,0
APP000032,57,Self-employed,16427,0,1,603,22,0,27,18,82.4,Apartment,1,1,451,19,1,0,1,16452,33924,35000,24,Mumbai,7.8,4.1,1
APP000033,34,Full-time,89334,1,1,569,10,0,13,8,81.5,Apartment,2,2,890,20,1,0,1,14360,29294,20000,11,Chennai,4.0,6.9,1
APP000034,22,Full-time,73267,1,0,679,2,0,1,1,89.2,House,2,1,899,45,0,0,2,24240,59808,22000,12,Hyderabad,7.7,5.0,0
APP000035,44,Full-time,37987,1,1,826,14,0,0,0,99.1,Apartment,3,2,721,0,0,0,1,16028,43294,20000,11,Chennai,3.7,3.5,1
APP000036,20,Full-time,26501,1,1,731,1,0,0,0,91.9,Apartment,2,1,682,25,0,0,1,20394,42858,35000,24,Mumbai,7.5,3.6,0
APP000037,37,Full-time,79332,0,1,750,11,0,4,2,94.5,House,3,3,1467,10,1,0,0,37257,74932,20000,12,Chennai,6.0,6.4,0
APP000038,18,Full-time,27581,0,0,844,0,0,0,0,100.0,House,3,2,1154,16,0,0,0,44918,103353,35000,12,Mumbai,3.5,3.6,0
APP000039,19,Full-time,36199,1,1,804,0,0,0,0,97.5,House,3,2,1134,5,0,0,0,24213,70457,25000,24,Pune,6.3,3.3,0
APP000040,37,Full-time,49176,1,1,547,11,0,16,11,79.1,Condo,5,2,2219,5,0,0,1,70123,190057,32000,11,Bangalore,7.8,5.7,0
APP000041,43,Full-time,18373,1,0,664,11,0,10,6,86.9,Apartment,2,2,783,1,1,0,0,12932,27661,20000,12,Chennai,7.0,5.2,0
APP000042,37,Full-time,32544,1,0,767,12,0,4,3,94.7,Condo,5,2,1861,10,0,0,2,73366,205533,32000,12,Bangalore,5.4,3.8,0
APP000043,33,Full-time,20889,1,1,838,11,0,0,0,99.6,Townhouse,3,3,1258,5,0,0,1,24871,52450,18000,11,Kolkata,7.1,4.1,1
APP000044,31,Full-time,14274,0,0,508,5,0,8,5,75.4,Condo,2,2,469,28,1,1,2,14763,32241,28000,24,Delhi,5.1,3.5,0
APP000045,18,Full-time,126806,1,1,747,0,0,0,0,95.3,House,2,1,1212,42,1,1,1,41389,86717,28000,12,Delhi,6.7,3.9,0
APP000046,26,Self-employed,22062,0,0,646,6,0,6,4,85.7,House,2,1,854,8,0,0,0,34834,73537,35000,12,Mumbai,4.1,5.0,0
APP000047,29,Full-time,52804,1,1,782,6,0,1,1,96.2,Apartment,1,1,300,11,1,1,1,12113,27738,32000,12,Bangalore,8.4,4.8,1
APP000048,47,Contract,108459,1,1,796,13,0,1,0,98.5,Apartment,1,1,541,22,1,0,1,18378,38852,28000,11,Delhi,8.4,6.6,1
APP000049,39,Full-time,24834,1,1,579,8,0,11,7,80.8,House,4,2,1621,10,0,0,0,61182,147699,35000,11,Mumbai,5.8,4.6,1
APP000050,18,Full-time,17048,1,1,828,0,0,0,0,98.8,Apartment,2,1,885,55,0,0,1,35651,78801,35000,24,Mumbai,5.5,4.0,0
APP000051,38,Full-time,104530,1,1,721,10,0,5,3,92.9,Apartment,2,2,677,29,1,0,0,17427,48177,32000,11,Bangalore,5.2,4.8,1
APP000052,30,Full-time,20765,1,1,570,9,0,12,8,80.1,House,3,2,889,2,0,0,2,18335,49521,18000,12,Kolkata,4.8,3.8,1
APP000053,26,Full-time,28381,1,1,619,6,0,6,4,83.8,Condo,2,1,1005,0,1,1,0,33306,76318,35000,6,Mumbai,8.0,5.1,0
APP000054,42,Full-time,25794,1,1,689,18,0,14,9,88.9,House,4,3,1947,29,0,0,0,41369,95201,20000,12,Chennai,7.7,6.2,1
APP000055,47,Self-employed,35864,0,1,615,15,0,17,11,83.7,House,3,2,1073,22,0,1,1,19472,39661,22000,11,Hyderabad,4.0,5.9,0
APP000056,46,Part-time,6088,1,0,737,9,0,5,3,91.9,Apartment,1,2,452,43,0,1,1,12076,29386,25000,12,Pune,3.1,3.5,0
APP000057,24,Full-time,52748,1,1,693,2,0,1,0,89.7,Apartment,3,2,1463,55,0,1,2,30911,89198,22000,12,Hyderabad,8.0,5.7,1
APP000058,31,Full-time,48009,1,1,662,9,0,8,5,87.4,Apartment,3,3,955,33,0,1,0,28270,80870,28000,36,Delhi,4.6,5.2,0
APP000059,38,Part-time,30516,0,0,814,14,0,1,1,98.1,Apartment,1,1,469,3,0,0,2,16035,41831,32000,12,Bangalore,6.0,5.8,0
APP000060,46,Full-time,60293,1,1,803,20,0,3,2,97.9,Apartment,2,1,568,16,0,0,1,9324,22437,20000,12,Chennai,6.2,4.4,0
APP000061,29,Full-time,47683,1,1,674,9,0,7,5,88.3,Condo,2,1,696,4,1,0,2,10898,26505,18000,11,Kolkata,4.4,4.5,0
APP000062,32,Full-time,30230,1,1,537,7,0,11,7,77.9,Townhouse,2,1,544,2,1,0,1,8526,21757,18000,12,Kolkata,4.8,5.0,1
APP000063,21,Full-time,37615,1,1,773,2,0,0,0,95.2,House,4,2,1775,6,0,1,1,28529,65036,20000,12,Chennai,2.7,3.7,0
APP000064,20,Full-time,24562,1,1,655,0,0,0,0,86.4,House,2,1,753,25,0,1,1,12104,25299,18000,12,Kolkata,6.6,6.3,0
APP000065,44,Full-time,40790,1,1,806,17,0,2,1,97.7,Townhouse,4,2,1163,1,0,0,0,20895,62142,18000,11,Kolkata,3.5,5.6,0
APP000066,51,Full-time,22604,1,1,652,10,0,10,6,86.1,Apartment,1,2,361,3,0,1,1,9923,22078,32000,12,Bangalore,3.4,3.3,1
APP000067,34,Full-time,39426,0,0,623,5,0,5,3,84.4,House,4,2,1416,6,0,1,1,38962,92230,32000,11,Bangalore,5.1,6.3,0
APP000068,47,Full-time,27886,1,1,699,9,0,6,4,89.6,Apartment,2,2,886,40,0,1,0,17866,45853,22000,12,Hyderabad,3.3,6.9,0
APP000069,39,Full-time,22236,0,0,811,14,0,2,1,97.7,House,3,2,923,7,0,0,2,35588,81365,35000,11,Mumbai,6.4,5.7,0
APP000070,27,Full-time,68196,1,1,709,6,0,3,2,91.3,Townhouse,4,3,1738,0,0,0,0,71260,183776,35000,12,Mumbai,6.5,5.1,0
APP000071,39,Full-time,58447,1,1,724,8,0,4,3,92.1,House,4,2,1710,7,0,0,1,32297,68983,18000,24,Kolkata,6.7,5.0,1
APP000072,53,Full-time,37576,1,0,715,12,0,7,5,91.0,Townhouse,2,1,883,7,0,0,0,28893,65888,32000,6,Bangalore,3.9,3.9,0
APP000073,34,Full-time,12762,0,1,598,10,1,12,8,82.0,Apartment,1,2,451,0,0,1,2,8000,23566,20000,11,Chennai,3.1,6.4,0
APP000074,53,Full-time,21431,1,1,743,23,1,12,8,92.7,House,2,1,1092,0,0,1,1,33702,99150,32000,24,Bangalore,8.5,5.7,0
APP000075,18,Full-time,34677,1,1,672,0,0,0,0,87.8,Condo,5,2,1992,29,1,0,2,51503,133816,28000,12,Delhi,4.7,3.8,0
APP000076,44,Full-time,48232,1,0,753,14,0,6,4,94.0,Apartment,1,2,300,20,0,0,2,8000,21764,18000,24,Kolkata,8.1,5.3,0
APP000077,36,Full-time,48715,1,0,575,8,0,10,7,81.1,Apartment,2,2,848,0,0,1,0,15885,43077,20000,24,Chennai,3.5,5.0,0
APP000078,31,Full-time,41734,1,1,712,10,0,6,4,90.9,Condo,2,2,530,29,0,0,1,15022,41120,28000,11,Delhi,2.7,3.5,0
APP000079,36,Full-time,36986,1,0,781,13,0,3,2,95.8,Condo,3,3,1378,2,0,0,0,34908,89937,25000,11,Pune,3.9,4.6,0
APP000080,18,Self-employed,28721,0,0,736,0,0,0,0,92.3,Condo,3,2,1207,37,0,0,0,39590,88440,32000,12,Bangalore,2.6,4.4,0
APP000081,32,Part-time,12454,1,1,749,4,0,2,1,92.9,House,3,2,937,3,1,0,1,31074,92147,32000,24,Bangalore,7.5,3.7,1
APP000082,39,Full-time,98061,1,1,797,14,0,1,1,98.3,Apartment,3,2,1053,4,0,0,0,47706,95587,35000,12,Mumbai,8.2,6.2,0
APP000083,52,Full-time,67474,1,1,504,28,0,47,31,76.3,House,3,3,1115,47,1,1,1,22079,60065,20000,12,Chennai,4.7,3.5,0
APP000084,28,Full-time,51515,1,1,664,5,0,4,2,87.6,House,3,3,852,25,0,0,0,32982,67952,32000,12,Bangalore,7.5,3.1,0
APP000085,25,Full-time,18387,1,1,759,3,0,1,0,93.8,Condo,2,2,777,42,0,0,1,16144,37912,22000,11,Hyderabad,6.8,6.4,0
APP000086,28,Full-time,17861,1,1,681,6,0,5,3,88.1,Apartment,1,2,300,14,0,0,0,13313,37255,35000,12,Mumbai,4.2,3.6,1
APP000087,45,Full-time,35620,0,1,604,12,2,14,9,82.9,Condo,2,1,863,29,0,0,2,23915,51437,22000,12,Hyderabad,5.9,6.4,1
APP000088,38,Full-time,26686,1,0,547,12,0,18,12,78.6,Apartment,1,1,392,47,0,0,2,8000,19512,20000,12,Chennai,5.5,5.4,1
APP000089,28,Contract,15581,1,1,755,3,0,1,0,93.4,Apartment,2,1,735,20,1,0,1,16907,41180,22000,11,Hyderabad,8.3,6.6,0
APP000090,41,Unemployed,7732,1,1,639,10,0,10,7,84.8,House,5,3,2327,0,0,0,1,55151,164403,28000,24,Delhi,5.5,6.8,0
APP000091,36,Part-time,5864,1,1,576,10,0,14,9,80.2,Apartment,1,1,473,12,0,1,1,8000,21778,18000,11,Kolkata,7.2,6.4,1
APP000092,46,Self-employed,30942,0,0,596,16,0,20,13,82.2,Studio,0,1,300,11,0,1,2,8000,23366,22000,24,Hyderabad,6.9,4.0,0
APP000093,26,Full-time,49300,1,1,665,6,0,5,3,87.6,House,2,1,1033,5,0,1,0,36750,86937,28000,12,Delhi,5.6,5.1,0
APP000094,31,Part-time,24175,1,1,754,8,0,3,2,93.6,Condo,3,2,1164,7,0,1,1,37623,100025,32000,12,Bangalore,4.4,6.4,0
APP000095,30,Full-time,12293,1,1,638,4,0,4,2,84.9,House,4,2,1525,12,0,1,2,46625,132094,28000,12,Delhi,3.8,4.0,0
APP000096,18,Unemployed,5000,0,1,657,0,0,0,0,86.1,Condo,2,1,926,0,1,0,1,14038,28469,18000,12,Kolkata,3.9,4.6,1
APP000097,38,Part-time,15983,1,1,574,10,0,14,9,80.3,House,2,1,811,3,0,0,1,13858,41430,18000,12,Kolkata,3.5,4.2,1
APP000098,38,Full-time,24867,1,1,784,8,0,2,1,95.8,House,3,2,1232,3,0,1,1,43653,118671,35000,12,Mumbai,4.7,5.6,0
APP000099,35,Self-employed,15746,1,1,563,7,0,10,6,79.5,Condo,3,2,974,8,0,1,2,20635,54882,25000,12,Pune,2.7,5.5,1
APP000100,32,Full-time,9982,1,1,673,12,0,10,7,87.3,Condo,3,2,1225,12,0,1,1,34642,79504,22000,12,Hyderabad,3.2,5.4,1
APP000101,18,Full-time,21390,1,1,770,0,0,0,0,94.7,Condo,4,2,1438,33,1,0,0,43748,125107,35000,6,Mumbai,7.0,3.2,0
APP000102,29,Contract,29037,1,1,689,7,0,5,3,88.9,Apartment,2,1,825,5,0,0,2,18316,40570,20000,24,Chennai,6.7,6.4,0
APP000103,30,Full-time,31517,1,1,540,8,0,12,8,78.2,House,3,2,864,16,0,0,1,28196,84318,35000,6,Mumbai,4.9,6.3,1
APP000104,25,Part-time,8821,0,1,641,2,0,2,1,85.0,Condo,4,2,1789,4,0,1,2,62210,176243,28000,24,Delhi,6.8,5.8,1
APP000105,33,Full-time,19896,1,0,654,9,0,8,5,86.2,Apartment,2,1,540,8,0,1,2,23809,64343,35000,12,Mumbai,4.0,3.5,1
APP000106,39,Full-time,29594,1,1,743,17,0,8,5,92.9,Townhouse,3,2,1622,7,1,0,1,52239,123821,28000,12,Delhi,6.0,5.4,0
APP000107,57,Part-time,11040,1,1,797,14,0,3,2,96.4,Townhouse,4,2,1825,17,0,0,1,61314,160998,32000,24,Bangalore,4.7,5.8,0
APP000108,37,Contract,37455,1,0,499,9,0,16,10,75.3,Apartment,2,1,829,7,1,1,0,21553,61250,22000,24,Hyderabad,5.1,5.2,1
APP000109,38,Full-time,50795,1,1,750,10,0,4,2,93.9,Condo,2,1,1034,0,0,0,1,43103,107063,35000,12,Mumbai,6.1,3.4,1
APP000110,34,Full-time,47668,1,1,728,9,0,5,3,92.2,Townhouse,3,2,1031,21,0,0,1,26665,79932,25000,12,Pune,7.5,3.6,0
APP000111,18,Full-time,18839,1,1,623,0,0,0,0,83.9,Townhouse,5,2,1933,28,0,0,1,37610,88929,20000,12,Chennai,3.9,5.0,0
APP000112,34,Part-time,22181,0,1,810,5,0,0,0,97.6,Apartment,1,1,300,5,0,1,1,12172,30799,35000,12,Mumbai,5.2,6.8,1
APP000113,35,Full-time,45048,1,0,624,11,0,12,8,84.6,Apartment,2,1,932,1,1,0,1,27234,60427,25000,11,Pune,7.5,4.0,0
APP000114,64,Self-employed,79727,0,0,705,15,0,9,6,91.2,Apartment,2,1,412,30,0,0,2,10355,28064,20000,12,Chennai,4.1,3.2,1
APP000115,32,Self-employed,106860,0,0,671,9,0,6,4,89.3,Apartment,1,1,300,1,0,0,1,8000,23425,25000,12,Pune,5.2,3.8,1
APP000116,38,Full-time,76427,1,1,709,16,0,9,6,91.4,House,3,2,1418,5,0,1,2,40849,88335,32000,12,Bangalore,3.5,6.2,0
APP000117,34,Full-time,27594,1,0,719,10,0,6,4,91.1,Townhouse,3,3,1088,42,1,0,2,36172,81404,28000,6,Delhi,3.1,4.5,0
APP000118,20,Full-time,22854,1,1,559,1,0,1,0,79.3,Apartment,1,1,373,18,0,0,2,8000,23497,20000,12,Chennai,8.3,4.8,0
APP000119,48,Full-time,32192,1,1,631,20,0,21,14,84.8,Apartment,3,2,1477,7,0,0,0,24072,49121,18000,12,Kolkata,5.7,4.5,1
APP000120,44,Contract,21903,1,1,578,10,0,13,9,80.7,Apartment,3,2,1412,34,1,1,0,22559,48966,18000,12,Kolkata,6.3,3.8,0
APP000121,44,Full-time,127569,1,1,760,16,0,4,2,96.3,Townhouse,2,2,900,10,0,0,1,29158,74862,25000,11,Pune,8.2,6.7,0
APP000122,24,Full-time,64427,0,0,675,3,1,2,1,88.7,Apartment,1,1,300,9,1,1,1,8000,20882,25000,12,Pune,2.8,3.2,0
APP000123,51,Part-time,26386,1,1,651,14,0,13,9,86.1,House,3,3,1228,26,0,1,0,37470,76276,25000,12,Pune,4.5,3.8,0
APP000124,18,Full-time,58802,1,1,731,0,0,0,0,92.6,Apartment,2,1,944,54,1,0,1,32066,88378,28000,12,Delhi,2.7,6.6,0
APP000125,42,Full-time,82671,1,1,757,13,0,4,3,95.1,Condo,3,2,1392,9,1,1,1,22619,46406,20000,12,Chennai,8.4,6.4,0
APP000126,61,Full-time,52623,1,1,791,30,0,6,4,96.9,Studio,0,1,300,1,0,0,1,13557,29224,35000,12,Mumbai,6.5,3.6,0
APP000127,23,Unemployed,6476,1,1,705,3,0,2,1,89.6,Condo,3,2,881,3,0,0,2,26064,56418,28000,12,Delhi,4.7,4.8,0
APP000128,28,Contract,48180,1,1,807,7,0,1,0,97.9,Townhouse,3,2,1445,6,0,1,1,51675,145962,28000,12,Delhi,3.9,3.9,0
APP000129,36,Part-time,28199,0,1,510,11,0,19,12,75.9,Apartment,1,1,397,5,0,0,1,12845,31284,35000,12,Mumbai,5.7,5.9,0
APP000130,28,Full-time,18577,1,1,725,3,0,1,1,91.3,Apartment,1,1,300,11,0,0,1,8000,22345,20000,24,Chennai,6.8,6.0,0
APP000131,18,Full-time,153348,1,0,528,0,0,0,0,80.0,House,3,2,924,27,0,0,1,27130,74846,25000,12,Pune,3.2,3.1,0
APP000132,35,Full-time,25131,0,0,654,10,0,9,6,86.3,House,4,3,1895,45,0,0,1,60110,169743,25000,6,Pune,6.2,6.9,0
APP000133,22,Part-time,45809,1,1,821,2,0,0,0,98.9,House,2,2,705,1,0,0,1,23951,68919,32000,6,Bangalore,3.3,5.8,0
APP000134,40,Full-time,32979,1,1,665,7,0,6,4,87.3,Condo,3,2,934,5,0,0,1,35261,82140,32000,24,Bangalore,4.3,6.7,0
APP000135,23,Full-time,72786,1,1,641,2,0,1,1,86.4,Condo,3,3,1269,13,0,1,0,44707,113228,35000,12,Mumbai,3.1,6.8,0
APP000136,53,Full-time,37507,1,1,663,11,1,10,6,87.2,House,3,2,1035,23,0,0,2,28495,65899,28000,12,Delhi,4.2,3.4,0
APP000137,25,Part-time,7637,1,1,510,5,1,8,5,75.4,Townhouse,3,2,1171,17,0,0,0,42923,107159,35000,12,Mumbai,2.8,5.8,1
APP000138,31,Part-time,34487,1,1,769,7,0,2,1,94.9,Apartment,1,2,300,7,0,1,1,8000,22736,28000,6,Delhi,4.4,3.1,0
APP000139,44,Full-time,87906,1,1,578,14,0,17,11,82.2,Townhouse,4,3,1713,2,1,1,0,58369,144158,32000,6,Bangalore,6.3,5.2,1
APP000140,20,Self-employed,32544,0,0,712,0,1,0,0,90.7,Apartment,3,2,1181,1,0,1,0,42883,106582,35000,12,Mumbai,7.8,5.3,1
APP000141,37,Self-employed,54689,1,1,738,7,0,3,2,93.1,House,3,2,1222,8,0,0,1,38001,78081,28000,11,Delhi,6.5,5.5,0
APP000142,50,Part-time,11981,1,1,520,12,0,20,13,76.3,Apartment,1,2,300,13,0,1,1,8000,22783,22000,11,Hyderabad,8.2,4.1,0
APP000143,18,Part-time,18857,1,1,666,0,0,0,0,87.0,Townhouse,3,3,1183,2,0,1,0,38934,110618,35000,12,Mumbai,3.4,3.6,0
APP000144,37,Full-time,70635,1,1,616,11,0,12,8,84.5,House,3,2,1061,0,0,0,0,34498,88356,28000,12,Delhi,3.6,5.5,0
APP000145,38,Contract,38825,1,0,724,12,0,7,4,91.7,Apartment,2,1,536,9,1,0,0,12007,32589,20000,36,Chennai,4.9,3.0,0
APP000146,44,Full-time,49373,0,1,723,11,0,6,4,91.9,House,2,1,782,4,0,1,1,19329,41142,28000,12,Delhi,7.5,3.2,1
APP000147,20,Full-time,67245,1,1,637,1,0,1,0,86.0,House,2,1,805,8,0,0,0,30699,69345,35000,12,Mumbai,2.9,4.6,1
APP000148,19,Part-time,49967,0,0,793,0,0,0,0,97.0,Apartment,2,1,867,45,0,0,2,31514,64732,28000,12,Delhi,7.3,4.8,0
APP000149,41,Full-time,71609,1,1,620,20,0,21,14,84.9,House,4,2,1668,59,1,0,1,36238,89599,20000,12,Chennai,6.3,5.5,0
APP000150,38,Contract,37666,1,1,630,6,0,6,4,84.8,Condo,3,2,1214,5,1,1,0,49726,135653,35000,6,Mumbai,7.2,3.4,1
APP000151,38,Full-time,35996,1,1,713,17,0,11,7,90.8,Townhouse,3,2,1027,20,0,0,1,36423,105727,28000,12,Delhi,8.2,5.0,0
APP000152,39,Full-time,40750,1,1,787,17,0,4,3,96.3,Condo,4,3,1489,6,0,0,1,45623,127832,25000,12,Pune,8.2,6.6,0
APP000153,26,Unemployed,5000,1,1,715,4,1,2,1,90.3,House,3,2,777,1,0,1,1,22473,56179,32000,12,Bangalore,4.6,4.0,1
APP000154,37,Full-time,42649,1,0,715,9,0,5,3,91.1,House,4,2,1659,25,0,0,1,63615,133488,35000,11,Mumbai,5.6,3.3,0
APP000155,38,Full-time,18271,1,1,657,7,0,6,4,86.4,Townhouse,4,2,1492,18,0,1,0,26021,66493,18000,11,Kolkata,3.0,6.1,1
APP000156,26,Full-time,29014,0,0,768,4,0,1,1,94.7,Apartment,2,1,1392,31,0,0,2,47393,133470,28000,12,Delhi,5.1,5.3,0
APP000157,57,Self-employed,51265,0,1,571,28,0,38,25,80.8,Townhouse,4,3,1881,1,0,1,0,43326,94125,18000,24,Kolkata,6.6,4.7,0
APP000158,40,Full-time,28677,1,1,800,15,0,3,2,97.0,House,3,3,1307,0,1,0,0,54231,161415,32000,11,Bangalore,7.6,6.8,0
APP000159,20,Full-time,84573,1,1,810,0,0,0,0,99.0,Condo,4,2,1727,28,0,0,0,62961,174865,32000,12,Bangalore,8.4,6.8,1
APP000160,42,Full-time,35446,1,1,722,11,0,6,4,91.5,Apartment,2,1,1112,4,0,1,1,31312,76558,22000,11,Hyderabad,4.4,5.4,0
APP000161,23,Contract,63574,1,1,764,2,0,0,0,95.2,Apartment,2,2,976,29,0,1,2,33209,97458,28000,6,Delhi,6.2,6.0,0
APP000162,44,Full-time,30768,1,1,714,13,0,8,5,90.8,Apartment,2,2,740,0,0,1,1,27721,79702,35000,11,Mumbai,7.5,4.3,0
APP000163,48,Full-time,34048,0,1,778,11,0,3,2,95.5,Condo,5,2,1612,4,0,0,1,34817,77566,22000,11,Hyderabad,4.5,6.8,0
APP000164,25,Part-time,36274,0,0,766,5,0,1,1,94.7,Apartment,2,2,657,23,0,0,0,16565,39238,20000,12,Chennai,2.9,5.4,0
APP000165,46,Self-employed,29388,1,1,586,22,0,29,19,81.5,Apartment,2,1,1091,3,0,0,0,34232,101006,35000,36,Mumbai,7.0,5.2,0
APP000166,39,Full-time,45468,1,0,617,15,0,17,11,84.1,House,3,2,1177,32,0,0,1,22104,58253,18000,12,Kolkata,3.1,6.0,1
APP000167,44,Self-employed,25327,0,0,651,20,0,20,13,86.1,Condo,3,2,1785,4,0,0,1,33541,92894,20000,11,Chennai,4.9,5.8,0
APP000168,57,Full-time,9169,0,1,743,24,0,13,8,92.4,House,3,2,1232,10,0,0,2,26847,75094,25000,12,Pune,6.7,3.8,0
APP000169,32,Full-time,25382,1,1,760,4,0,1,1,94.0,Apartment,3,2,1215,27,1,0,1,29517,60353,25000,24,Pune,5.7,6.9,1
APP000170,25,Full-time,87316,1,1,611,6,1,6,4,84.6,House,3,2,1424,39,1,1,1,27401,74582,20000,12,Chennai,3.3,4.3,0
APP000171,24,Full-time,44413,1,1,738,2,0,1,0,92.8,House,3,2,918,12,0,0,2,32850,93974,32000,12,Bangalore,2.9,3.5,0
APP000172,25,Full-time,62081,1,1,505,2,0,3,2,76.3,Condo,2,1,664,0,1,0,0,21648,47897,35000,12,Mumbai,5.1,3.5,1
APP000173,34,Full-time,63439,1,1,771,10,0,3,2,95.7,Condo,4,2,1636,10,0,0,1,57317,137810,35000,12,Mumbai,8.3,6.6,0
APP000174,39,Full-time,57958,1,1,730,14,0,7,5,92.6,Studio,0,1,404,6,0,0,1,13163,31243,32000,12,Bangalore,4.1,6.5,0
APP000175,38,Part-time,47286,0,0,777,8,0,2,1,95.7,Condo,2,1,1041,4,1,0,0,31673,88682,32000,12,Bangalore,4.8,5.3,1
