applicant_id,credit_score,monthly_income,monthly_rent,employment_type,employment_verified,income_verified,rental_history_years,previous_evictions,property_type,bedrooms,bathrooms,square_feet,property_age_years,city,furnished,pets_allowed,parking_spaces,lease_term_months,market_median_rent,local_unemployment_rate,inflation_rate,move_in_date,default_flag
10035,745,32123,15599,Freelance,0,0,0,0,Apartment,1,1,1112,11,Pune,1,0,2,36,32001,4.328233822060993,7.004946598149365,2022-01-18 00:00:00,0
10036,582,33848,6453,Freelance,0,0,2,0,Villa,1,2,740,7,Pune,0,0,1,6,30757,6.640423266956356,5.176994836479305,2022-01-18 12:00:00,0
10037,696,8442,24685,Freelance,1,1,3,1,Apartment,1,2,699,3,Hyderabad,1,0,1,12,21849,5.46978411219809,7.033025138170909,2022-01-19 00:00:00,0
10038,523,61529,18526,Part-time,0,1,1,0,Apartment,1,1,954,5,Bangalore,0,0,1,12,21694,3.8050869293662735,5.662343721565659,2022-01-19 12:00:00,1
10039,573,59512,18002,Self-employed,0,1,0,0,Villa,1,2,601,22,Bangalore,0,0,0,12,25302,3.4611512459293747,2.3972470544008475,2022-01-20 00:00:00,0
10040,695,69675,24549,Full-time,1,1,1,2,Apartment,1,2,548,6,Bangalore,0,1,1,12,23229,4.170720209567264,4.85277098946265,2022-01-20 12:00:00,0
10041,739,269595,17473,Part-time,1,1,5,0,Villa,2,2,1001,3,Pune,0,0,0,12,30408,7.402864577683828,4.0351255962467025,2022-01-21 00:00:00,0
10042,693,12851,13216,Self-employed,1,1,3,0,Studio,3,2,670,0,Hyderabad,1,0,1,12,23189,2.496407034492402,9.358863919235784,2022-01-21 12:00:00,1
10043,670,11043,7895,Full-time,1,0,2,0,Apartment,1,1,767,15,Mumbai,0,1,1,12,19348,2.6872124259010093,6.563329577570592,2022-01-22 00:00:00,0
10044,655,63875,17959,Freelance,1,1,0,0,Condo,3,2,663,2,Hyderabad,1,0,0,6,21576,5.51681998601528,6.885795489962727,2022-01-22 12:00:00,0
10045,561,27722,50582,Part-time,1,1,4,0,Apartment,4,2,982,7,Hyderabad,1,0,1,12,14886,4.658136797698897,4.472140339297805,2022-01-23 00:00:00,1
10046,622,16506,8334,Part-time,1,1,3,0,Apartment,1,1,946,1,Hyderabad,0,0,1,12,23807,4.379397407770124,5.548546129462275,2022-01-23 12:00:00,0
10047,643,28968,36395,Full-time,1,1,0,0,Studio,1,1,1347,2,Hyderabad,0,0,0,12,19546,4.264956761495063,6.6035851212190995,2022-01-24 00:00:00,0
10048,764,22144,29737,Full-time,1,1,1,0,Condo,1,2,801,1,Bangalore,0,0,0,24,29855,3.79279690581024,4.654779656595983,2022-01-24 12:00:00,0
10049,707,144324,5439,Self-employed,1,1,4,0,Condo,2,1,683,2,Bangalore,0,0,1,12,28688,2.647243495628554,6.221207944413607,2022-01-25 00:00:00,0
10050,538,221781,27610,Freelance,1,0,2,0,Studio,1,1,317,0,Pune,1,1,1,12,28205,4.30387547273246,3.9945129621988578,2022-01-25 12:00:00,0
10051,705,9813,18264,Self-employed,0,1,7,0,Studio,1,1,923,13,Delhi,0,0,2,6,28530,2.5965956452674197,5.941173892964097,2022-01-26 00:00:00,0
10052,649,11145,17010,Self-employed,1,0,0,0,Condo,1,1,1259,5,Bangalore,0,0,2,12,27598,4.259842974040114,5.8009485275433565,2022-01-26 12:00:00,0
10053,625,19781,72936,Part-time,1,1,2,0,Studio,2,1,777,3,Pune,0,0,2,12,20640,4.982841895182696,4.719957005425585,2022-01-27 00:00:00,0
10054,728,20918,34854,Part-time,1,1,1,0,Studio,3,1,627,2,Delhi,0,0,1,12,23716,3.6486176624622058,4.508235660560189,2022-01-27 12:00:00,0
10055,762,19531,9417,Part-time,1,0,3,0,Apartment,3,1,970,3,Hyderabad,0,1,2,12,22187,5.409236684929905,2.7441771849670453,2022-01-28 00:00:00,0
10056,754,31089,28220,Freelance,1,1,2,0,Apartment,1,2,392,2,Delhi,0,0,0,24,26734,2.361289471739231,7.562789293005045,2022-01-28 12:00:00,0
10057,612,25400,9492,Part-time,1,1,1,0,Studio,1,2,757,3,Hyderabad,0,1,1,12,24419,5.972880421867697,6.363171120345217,2022-01-29 00:00:00,0
10058,655,12296,9775,Freelance,1,1,0,0,Studio,1,1,1181,9,Mumbai,0,0,2,6,31196,6.312529733888044,6.538959377741575,2022-01-29 12:00:00,0
10059,706,15971,20176,Self-employed,1,1,2,0,Apartment,2,1,482,25,Hyderabad,0,0,1,12,19263,4.215350061164646,6.993980914854165,2022-01-30 00:00:00,0
10060,758,125125,41011,Freelance,1,1,1,0,Apartment,4,2,1026,7,Hyderabad,0,1,0,12,27481,6.29203619211881,5.036517557113979,2022-01-30 12:00:00,0
10061,641,27283,6367,Freelance,1,0,1,0,Condo,2,3,408,9,Delhi,0,0,0,12,34627,4.369288331604016,6.185089641101169,2022-01-31 00:00:00,0
10062,665,26189,12674,Full-time,1,0,5,0,Villa,2,1,1328,8,Bangalore,0,1,2,12,23904,4.835866569762274,8.290783721890712,2022-01-31 12:00:00,0
10063,591,10760,41072,Self-employed,1,0,1,0,Condo,2,2,613,12,Mumbai,0,0,1,12,24047,3.3997247095097105,5.176759544870023,2022-02-01 00:00:00,0
10064,584,25069,9333,Freelance,1,1,0,0,Apartment,1,1,300,1,Mumbai,1,0,0,24,15488,8.410400391236308,4.779008437396268,2022-02-01 12:00:00,0
10065,745,78332,18434,Part-time,1,1,0,0,Studio,1,1,469,2,Hyderabad,0,1,2,12,20525,5.820430407709918,5.547232823965748,2022-02-02 00:00:00,0
10066,788,58480,14509,Self-employed,1,1,5,0,Studio,3,1,1226,6,Mumbai,0,0,1,24,27293,5.460921206478042,5.346901346712819,2022-02-02 12:00:00,0
10067,674,69485,44071,Self-employed,1,1,1,1,Studio,1,1,1100,30,Hyderabad,1,1,0,12,21457,4.140922300178159,5.066934720700916,2022-02-03 00:00:00,0
10068,760,13864,22543,Freelance,1,1,2,0,Studio,2,1,1035,2,Mumbai,0,0,1,12,19559,8.576172046316529,4.516939520120893,2022-02-03 12:00:00,1
10069,708,13688,14630,Part-time,0,1,1,0,Studio,2,1,1150,8,Delhi,0,0,0,12,34304,1.0,5.202480052264487,2022-02-04 00:00:00,0
10070,628,89926,10040,Self-employed,1,1,0,0,Villa,1,2,1164,1,Delhi,0,0,2,12,25640,1.9352066863218176,4.831629100921894,2022-02-04 12:00:00,0
10071,708,70334,78711,Part-time,1,0,2,0,Condo,3,2,388,4,Hyderabad,0,0,1,12,17533,2.674229210042797,3.1179450306168404,2022-02-05 00:00:00,0
10072,803,29532,17102,Self-employed,1,1,0,0,Studio,1,2,992,6,Bangalore,0,0,1,12,28647,3.8756132417571747,5.4599781809042165,2022-02-05 12:00:00,0
10073,677,71856,15391,Part-time,1,1,4,0,Apartment,2,1,871,2,Pune,1,0,2,12,25846,6.93125744675008,5.916649583699308,2022-02-06 00:00:00,0
10074,805,13871,25579,Part-time,1,1,2,0,Condo,2,2,1347,1,Bangalore,0,0,0,36,26429,8.231378899213695,5.010282946218282,2022-02-06 12:00:00,0
10075,470,13418,29828,Full-time,1,1,1,0,Villa,4,2,1154,6,Mumbai,0,1,1,24,26183,4.012408421956179,6.514284308450676,2022-02-07 00:00:00,1
10076,745,9956,6767,Full-time,0,1,3,1,Apartment,3,3,869,13,Mumbai,0,0,1,12,21859,3.925500182484167,2.0,2022-02-07 12:00:00,1
10077,686,48493,15787,Freelance,1,1,1,0,Condo,3,1,807,0,Mumbai,1,1,1,12,34082,1.0,4.963235296719064,2022-02-08 00:00:00,0
10078,656,43190,8513,Freelance,0,0,2,0,Villa,3,2,955,1,Pune,1,0,1,12,35872,3.8929181103710526,5.622783962955983,2022-02-08 12:00:00,0
10079,687,23910,12146,Part-time,0,0,0,0,Condo,2,2,841,1,Pune,0,0,2,12,23863,1.0,6.950430455616261,2022-02-09 00:00:00,0
10080,520,19451,43977,Freelance,1,1,1,0,Villa,1,1,688,37,Bangalore,1,0,0,12,18809,5.280606039735955,5.761224691845844,2022-02-09 12:00:00,0
10081,662,250606,40432,Full-time,1,1,3,0,Apartment,3,1,1112,1,Hyderabad,0,1,2,12,25723,3.2144115523962475,3.589667523455695,2022-02-10 00:00:00,0
10082,708,29516,27232,Self-employed,1,1,1,0,Studio,2,1,724,2,Bangalore,0,0,2,12,30537,4.727960383634746,5.072514485543437,2022-02-10 12:00:00,0
10083,798,110244,6743,Full-time,1,1,5,0,Apartment,1,3,763,0,Hyderabad,1,0,1,24,28086,6.44934088101348,3.8079935178549755,2022-02-11 00:00:00,0
10084,638,32303,20551,Freelance,0,0,2,0,Villa,2,1,345,1,Hyderabad,0,0,0,12,30544,3.8188434620194283,5.9086025447820765,2022-02-11 12:00:00,0
10085,615,24329,12053,Self-employed,0,1,2,0,Studio,2,2,370,12,Mumbai,0,0,0,12,28210,3.98393747350732,5.356642779703921,2022-02-12 00:00:00,0
10086,639,112795,36110,Freelance,1,1,2,0,Studio,3,3,1290,7,Mumbai,1,0,0,12,26007,2.327542071846649,5.705501708508623,2022-02-12 12:00:00,1
10087,753,68320,12156,Self-employed,0,1,2,0,Studio,1,1,977,3,Bangalore,0,0,2,6,30762,5.1936394870475215,6.443926454978126,2022-02-13 00:00:00,0
10088,706,35621,10100,Self-employed,1,1,0,2,Condo,2,2,788,14,Mumbai,1,1,0,12,24227,3.264167745638149,3.5194919752055367,2022-02-13 12:00:00,0
10089,637,89946,23213,Full-time,1,1,0,0,Condo,4,1,941,4,Bangalore,0,1,0,6,24309,5.605055161405897,4.685389500135102,2022-02-14 00:00:00,0
10090,721,272732,42169,Full-time,0,0,0,0,Studio,2,1,927,3,Pune,0,0,0,12,24600,4.189562134529327,7.268191002893095,2022-02-14 12:00:00,0
10091,687,20213,38084,Self-employed,1,1,1,0,Villa,3,2,369,31,Hyderabad,0,0,1,12,28793,2.5623167312180506,8.48780579822112,2022-02-15 00:00:00,0
10092,757,52965,44778,Full-time,1,1,3,2,Villa,1,1,769,12,Bangalore,0,1,2,24,19598,5.993499771215566,3.9935605560090686,2022-02-15 12:00:00,0
10093,623,26176,45067,Part-time,1,0,5,0,Apartment,2,1,538,16,Pune,0,0,0,12,26545,6.177760896960718,5.754736354338818,2022-02-16 00:00:00,0
10094,653,17194,56549,Part-time,1,1,0,0,Condo,1,1,704,5,Mumbai,0,1,1,12,23979,3.08992121484041,9.503973508694031,2022-02-16 12:00:00,1
10095,648,16817,20464,Freelance,1,0,8,0,Condo,2,1,300,1,Mumbai,0,0,0,12,22420,3.8450181595987987,4.394417337097075,2022-02-17 00:00:00,0
10096,562,129815,13210,Self-employed,1,1,0,0,Villa,2,2,1089,17,Mumbai,0,0,1,24,22820,5.703769884873136,5.022476528003937,2022-02-17 12:00:00,0
10097,703,8435,10118,Full-time,1,1,1,0,Apartment,2,1,747,8,Hyderabad,0,0,1,36,34405,7.5345155031623365,3.884773287657967,2022-02-18 00:00:00,0
10098,700,54518,41617,Full-time,1,0,2,0,Studio,1,1,811,3,Bangalore,0,1,1,12,22493,2.5026605999295226,4.58062678892935,2022-02-18 12:00:00,0
10099,680,18766,15982,Self-employed,1,0,3,0,Villa,1,2,967,1,Mumbai,0,1,2,12,17223,2.6408155361422407,5.3496002004813805,2022-02-19 00:00:00,0
10100,661,149940,9538,Freelance,1,1,1,0,Studio,3,2,1117,5,Bangalore,1,1,0,12,19644,3.982533477523191,7.113049256418165,2022-02-19 12:00:00,0
10101,566,29188,25999,Part-time,1,1,2,0,Villa,2,1,955,13,Mumbai,0,0,1,12,33696,4.784607609269689,5.8431740575941,2022-02-20 00:00:00,0
10102,646,27140,6547,Self-employed,1,0,0,0,Villa,1,2,386,0,Mumbai,0,0,2,12,25105,4.858436988113484,5.351134470070124,2022-02-20 12:00:00,1
10103,652,127466,8467,Part-time,1,0,0,0,Villa,2,3,912,8,Delhi,0,0,1,24,24150,2.91364272026226,6.3563121685312804,2022-02-21 00:00:00,0
10104,615,73235,20996,Self-employed,0,1,1,0,Apartment,4,2,300,8,Mumbai,1,0,1,36,26982,9.150016193189192,3.677299134247116,2022-02-21 12:00:00,0
10105,667,56578,33437,Full-time,1,1,0,0,Villa,1,2,852,0,Bangalore,1,0,2,12,23318,2.0079821663616473,4.705360461064542,2022-02-22 00:00:00,0
10106,712,69192,14304,Self-employed,0,1,2,0,Apartment,1,1,1104,1,Bangalore,0,0,0,12,23252,2.207832799020645,5.012139756634401,2022-02-22 12:00:00,0
10107,830,15265,15325,Freelance,1,1,2,0,Studio,2,1,1129,3,Hyderabad,0,0,0,24,36486,1.0,5.97590699115905,2022-02-23 00:00:00,0
10108,693,65733,31277,Full-time,0,1,2,0,Condo,1,1,1145,2,Delhi,1,0,0,24,27084,5.627253326225277,6.2999525283290145,2022-02-23 12:00:00,0
10109,700,30969,32219,Self-employed,1,1,0,0,Villa,1,2,585,4,Delhi,1,0,2,12,30971,2.8832656549610243,6.192931814999958,2022-02-24 00:00:00,1
10110,674,48471,4220,Freelance,1,1,11,0,Villa,2,1,562,7,Mumbai,0,0,1,12,22703,5.387592957135608,5.832991192022078,2022-02-24 12:00:00,0
10111,526,53510,50929,Self-employed,0,0,0,0,Studio,1,2,521,5,Pune,0,0,1,6,30084,2.7448852695172032,4.040199824024379,2022-02-25 00:00:00,0
10112,677,14936,14343,Full-time,1,1,1,0,Villa,3,2,300,2,Bangalore,0,0,2,24,21825,5.9951661883729255,4.75541146263784,2022-02-25 12:00:00,1
10113,684,58399,10693,Self-employed,1,1,0,0,Villa,1,2,892,4,Bangalore,0,0,1,12,31897,4.840669279087753,5.243339273765251,2022-02-26 00:00:00,0
10114,850,31285,12992,Part-time,0,1,1,0,Studio,3,1,897,13,Mumbai,0,0,0,6,32704,6.64139847535405,3.8119791505156826,2022-02-26 12:00:00,0
10115,664,13467,6937,Full-time,1,1,16,0,Apartment,1,2,872,4,Delhi,0,0,1,24,36001,10.097787815186166,5.466484167561088,2022-02-27 00:00:00,0
10116,704,32297,107258,Part-time,1,1,2,0,Apartment,4,1,662,3,Delhi,0,0,2,12,29522,1.0,5.911088177679181,2022-02-27 12:00:00,0
10117,677,36901,7232,Freelance,1,1,0,0,Condo,2,1,445,9,Hyderabad,0,0,0,12,30842,6.604032952885795,6.793232067063039,2022-02-28 00:00:00,0
10118,586,58390,6316,Freelance,0,1,0,0,Apartment,2,1,1081,7,Delhi,0,1,1,12,25074,6.825432510847291,6.9522593033043965,2022-02-28 12:00:00,0
10119,771,5374,15016,Self-employed,1,1,2,0,Apartment,2,2,604,12,Bangalore,1,0,1,12,25824,6.090352367253816,3.691645076429229,2022-03-01 00:00:00,0
10120,740,49538,6864,Part-time,0,1,9,0,Villa,1,1,747,3,Hyderabad,1,0,2,12,24049,1.4521137772060837,5.250969471255492,2022-03-01 12:00:00,0
10121,743,24113,19641,Self-employed,1,1,2,0,Condo,2,1,498,12,Pune,1,1,1,12,19736,6.6859353708681315,3.1497261297321915,2022-03-02 00:00:00,0
10122,607,69417,56908,Self-employed,1,0,1,0,Studio,2,2,626,16,Delhi,1,0,0,24,29810,3.8420380514402894,6.155307844868469,2022-03-02 12:00:00,1
10123,792,36261,20244,Part-time,1,1,0,0,Studio,2,3,1014,4,Delhi,0,0,0,6,25482,2.9328711434588772,5.629554051179971,2022-03-03 00:00:00,0
10124,567,27814,22860,Full-time,1,1,1,0,Studio,3,2,452,4,Delhi,1,1,0,12,24493,6.450654220319414,6.810025285227054,2022-03-03 12:00:00,0
10125,726,31508,14710,Full-time,0,0,11,0,Villa,2,1,388,34,Hyderabad,1,0,1,12,22425,4.620720440594432,7.890089018954783,2022-03-04 00:00:00,0
10126,850,47416,8701,Freelance,1,1,3,0,Studio,2,1,412,0,Pune,1,0,0,12,26929,3.4742372583722023,5.67144416988372,2022-03-04 12:00:00,0
10127,600,75081,14696,Self-employed,0,1,0,0,Villa,1,2,1254,3,Delhi,0,0,0,12,20765,3.305856233498554,8.18957443107537,2022-03-05 00:00:00,0
10128,634,17802,37730,Self-employed,0,1,1,0,Condo,1,1,936,0,Mumbai,0,0,1,12,27399,7.3811095354126754,4.240710921917227,2022-03-05 12:00:00,0
10129,687,27586,46642,Full-time,1,1,0,0,Apartment,3,2,641,8,Mumbai,1,0,2,12,26245,5.292948302427946,6.3335295446414905,2022-03-06 00:00:00,0
10130,639,117650,18566,Freelance,1,1,0,0,Studio,1,1,806,0,Bangalore,0,0,2,24,21411,3.020521687700667,3.997417672012181,2022-03-06 12:00:00,0
10131,555,27203,33331,Full-time,1,1,0,0,Villa,2,2,478,9,Bangalore,1,1,0,24,20353,3.827253230957438,6.141433717198565,2022-03-07 00:00:00,0
10132,685,48717,10484,Part-time,1,1,0,0,Apartment,2,1,632,1,Hyderabad,0,0,1,12,22914,7.253453795385184,3.2418519133715007,2022-03-07 12:00:00,1
10133,595,13529,11723,Full-time,1,1,1,0,Studio,1,2,730,7,Pune,0,0,0,12,22787,4.270748468011443,4.321001738194532,2022-03-08 00:00:00,0
10134,717,9213,5884,Part-time,1,1,0,0,Studio,3,1,1310,14,Pune,1,0,0,12,18815,1.5833912166639386,8.961724224785497,2022-03-08 12:00:00,0
10135,606,15801,39198,Self-employed,1,0,6,0,Condo,2,2,534,25,Pune,0,0,1,24,23187,4.649413869581258,5.2668113190966706,2022-03-09 00:00:00,0
10136,803,20912,12049,Self-employed,1,0,3,0,Studio,1,1,731,9,Delhi,0,0,0,12,32158,3.2484689809093004,5.205892244586219,2022-03-09 12:00:00,0
10137,617,83443,7118,Freelance,1,1,3,0,Studio,1,1,871,1,Delhi,0,0,2,24,21689,4.829146354055473,3.2649310056889895,2022-03-10 00:00:00,0
10138,654,91091,25617,Self-employed,1,1,1,0,Apartment,2,1,1341,15,Mumbai,1,0,0,36,20199,6.360278965608141,7.843208183764778,2022-03-10 12:00:00,0
10139,745,7783,46182,Self-employed,1,1,2,0,Apartment,2,1,313,4,Delhi,0,0,0,12,15895,3.115942066632795,5.0827671986017515,2022-03-11 00:00:00,0
10140,581,23552,13907,Freelance,1,1,0,0,Condo,2,1,917,8,Hyderabad,1,0,1,12,27977,3.6320383557643936,4.318856819583711,2022-03-11 12:00:00,0
10141,698,63464,5219,Self-employed,1,1,0,0,Apartment,1,1,655,23,Hyderabad,1,1,0,36,31388,4.9147667476208285,6.100996100890046,2022-03-12 00:00:00,0
10142,784,33380,14375,Freelance,1,0,2,0,Condo,2,1,404,28,Pune,0,1,0,12,20877,6.786143068087153,8.086856068397388,2022-03-12 12:00:00,0
10143,551,121012,21318,Freelance,1,1,2,0,Apartment,4,1,781,10,Bangalore,0,0,2,12,29879,1.2353745417309958,6.6066647989988585,2022-03-13 00:00:00,0
10144,694,62242,27358,Self-employed,1,1,0,0,Apartment,2,2,300,1,Mumbai,0,0,1,12,18786,2.743499839944963,4.155928492044952,2022-03-13 12:00:00,0
10145,700,29314,31061,Full-time,0,1,3,0,Condo,2,1,763,0,Pune,0,0,2,12,28193,3.625282379271686,4.551942701112576,2022-03-14 00:00:00,0
10146,742,31478,19018,Part-time,0,1,7,0,Condo,2,1,1296,3,Pune,1,0,2,12,23213,6.245373209648429,2.9825825499752625,2022-03-14 12:00:00,0
10147,581,34702,15046,Full-time,1,0,0,0,Villa,3,1,859,3,Mumbai,0,0,1,12,21791,6.420548889751883,7.205016305362227,2022-03-15 00:00:00,0
10148,574,18457,29142,Full-time,1,1,0,0,Studio,1,2,785,7,Bangalore,0,0,0,12,25184,5.45539784948044,6.0180192934462085,2022-03-15 12:00:00,0
10149,721,76985,7142,Part-time,1,1,2,0,Apartment,3,3,866,6,Mumbai,0,0,2,12,24831,1.0,6.525813234943108,2022-03-16 00:00:00,0
10150,703,65771,9153,Freelance,1,1,8,0,Studio,2,1,380,1,Delhi,0,0,1,6,20590,4.7315664448071555,7.384876864055673,2022-03-16 12:00:00,0
10151,700,52230,10839,Full-time,0,0,6,2,Studio,1,2,546,13,Mumbai,0,0,0,12,25610,5.6869837370925564,8.53099473351297,2022-03-17 00:00:00,0
10152,707,44093,13236,Self-employed,1,0,2,0,Apartment,2,1,777,4,Delhi,0,0,0,12,24153,6.382866694485639,6.196233293646538,2022-03-17 12:00:00,0
10153,625,16081,6849,Full-time,1,1,2,0,Condo,2,2,813,13,Bangalore,0,1,1,12,26217,4.943622693589971,5.528762184099837,2022-03-18 00:00:00,0
10154,698,54358,35614,Freelance,1,0,0,0,Apartment,1,1,1168,16,Pune,0,1,0,24,28050,5.829272684181982,5.886353277288309,2022-03-18 12:00:00,0
10155,703,40266,7719,Full-time,1,1,1,0,Apartment,1,1,358,8,Delhi,0,0,1,12,19571,8.376426576381393,4.536805853895114,2022-03-19 00:00:00,0
10156,622,180198,3000,Freelance,1,1,9,1,Studio,3,1,784,35,Mumbai,0,0,0,12,23755,3.1931817161500886,5.911658781698019,2022-03-19 12:00:00,0
10157,829,12904,35975,Part-time,1,1,0,0,Apartment,2,1,1286,3,Pune,0,0,0,12,22598,2.604968582073836,2.6175715156431822,2022-03-20 00:00:00,0
10158,717,20360,25871,Full-time,1,1,2,0,Condo,1,2,752,6,Pune,0,1,1,12,24821,1.9380308100518158,3.8745205421442357,2022-03-20 12:00:00,0
10159,584,10205,17284,Freelance,1,1,0,0,Apartment,1,2,1114,2,Bangalore,0,1,2,12,29863,5.310313562078591,7.36908776621835,2022-03-21 00:00:00,0
10160,732,30503,25030,Freelance,1,1,1,0,Condo,1,2,436,1,Pune,1,0,1,6,25992,6.923097766533667,5.416688239575868,2022-03-21 12:00:00,1
10161,602,9020,19458,Self-employed,0,1,0,0,Apartment,4,2,681,8,Hyderabad,0,0,2,12,22249,6.333433120010091,6.542465068786834,2022-03-22 00:00:00,1
